arm	rep	tok_s	step_ms	E_warm	E_all	warm_steps	harness_median_ms	ctx	identity_err_pct	bin_sha256	bin_mtime	bin	corpus
off	1	21.5517	46.400	1.0000	-	11	46.400	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
rule	1	22.2717	44.900	1.0000	-	11	44.900	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
off	2	21.5517	46.400	1.0000	-	11	46.400	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
rule	2	22.1239	45.200	1.0000	-	11	45.200	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
off	3	21.6920	46.100	1.0000	-	11	46.100	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
rule	3	22.4215	44.600	1.0000	-	11	44.600	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
off	4	21.6920	46.100	1.0000	-	11	46.100	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
rule	4	22.4719	44.500	1.0000	-	11	44.500	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
off	5	21.0526	47.500	1.0000	-	11	47.500	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
rule	5	22.3214	44.800	1.0000	-	11	44.800	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
off	6	21.6450	46.200	1.0000	-	11	46.200	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
rule	6	22.2717	44.900	1.0000	-	11	44.900	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
off	7	21.1864	47.200	1.0000	-	11	47.200	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
rule	7	22.0264	45.400	1.0000	-	11	45.400	3744	0.000	45e6f5454a2c414271bacf0c19a9336369bf6c15dca5f0c0ef50f934ef1c6c84	2026-08-26T21:50:55Z	<redacted-path>/inkling_forward	-
